3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    3.7000    
3.6500    3.6498    3.6496    3.6494    3.6492    3.6490    3.6488    3.6486    3.6484    3.6483    3.6481    3.6479    3.6477    3.6476    3.6474    3.6472    3.6471    3.6470    3.6468    3.6467    3.6466    3.6465    3.6464    3.6463    3.6462    3.6461    3.6460    3.6460    3.6459    3.6459    3.6458    3.6458    3.6458    3.6458    3.6458    3.6458    3.6458    3.6459    3.6459    3.6460    3.6460    3.6461    3.6462    3.6463    3.6464    3.6465    3.6466    3.6467    3.6468    3.6470    3.6471    3.6472    3.6474    3.6476    3.6477    3.6479    3.6481    3.6483    3.6484    3.6486    3.6488    3.6490    3.6492    3.6494    3.6496    3.6498    3.6500    
3.6000    3.5996    3.5992    3.5988    3.5984    3.5980    3.5976    3.5972    3.5969    3.5965    3.5961    3.5958    3.5955    3.5951    3.5948    3.5945    3.5942    3.5939    3.5936    3.5934    3.5931    3.5929    3.5927    3.5925    3.5923    3.5922    3.5921    3.5919    3.5918    3.5917    3.5917    3.5916    3.5916    3.5916    3.5916    3.5916    3.5917    3.5917    3.5918    3.5919    3.5921    3.5922    3.5923    3.5925    3.5927    3.5929    3.5931    3.5934    3.5936    3.5939    3.5942    3.5945    3.5948    3.5951    3.5955    3.5958    3.5961    3.5965    3.5969    3.5972    3.5976    3.5980    3.5984    3.5988    3.5992    3.5996    3.6000    
3.5500    3.5494    3.5488    3.5482    3.5476    3.5470    3.5465    3.5459    3.5453    3.5448    3.5442    3.5437    3.5432    3.5427    3.5422    3.5418    3.5413    3.5409    3.5405    3.5401    3.5397    3.5394    3.5391    3.5388    3.5385    3.5383    3.5381    3.5379    3.5378    3.5376    3.5375    3.5375    3.5374    3.5374    3.5374    3.5375    3.5375    3.5376    3.5378    3.5379    3.5381    3.5383    3.5385    3.5388    3.5391    3.5394    3.5397    3.5401    3.5405    3.5409    3.5413    3.5418    3.5422    3.5427    3.5432    3.5437    3.5442    3.5448    3.5453    3.5459    3.5465    3.5470    3.5476    3.5482    3.5488    3.5494    3.5500    
3.5000    3.4992    3.4984    3.4976    3.4968    3.4961    3.4953    3.4945    3.4938    3.4930    3.4923    3.4916    3.4909    3.4903    3.4896    3.4890    3.4884    3.4879    3.4873    3.4868    3.4864    3.4859    3.4855    3.4851    3.4848    3.4845    3.4842    3.4839    3.4837    3.4836    3.4834    3.4833    3.4833    3.4833    3.4833    3.4833    3.4834    3.4836    3.4837    3.4839    3.4842    3.4845    3.4848    3.4851    3.4855    3.4859    3.4864    3.4868    3.4873    3.4879    3.4884    3.4890    3.4896    3.4903    3.4909    3.4916    3.4923    3.4930    3.4938    3.4945    3.4953    3.4961    3.4968    3.4976    3.4984    3.4992    3.5000    
3.4500    3.4490    3.4480    3.4470    3.4461    3.4451    3.4441    3.4432    3.4422    3.4413    3.4404    3.4396    3.4387    3.4379    3.4371    3.4363    3.4356    3.4349    3.4342    3.4336    3.4330    3.4324    3.4319    3.4315    3.4310    3.4306    3.4303    3.4300    3.4297    3.4295    3.4294    3.4292    3.4292    3.4291    3.4292    3.4292    3.4294    3.4295    3.4297    3.4300    3.4303    3.4306    3.4310    3.4315    3.4319    3.4324    3.4330    3.4336    3.4342    3.4349    3.4356    3.4363    3.4371    3.4379    3.4387    3.4396    3.4404    3.4413    3.4422    3.4432    3.4441    3.4451    3.4461    3.4470    3.4480    3.4490    3.4500    
3.4000    3.3988    3.3976    3.3965    3.3953    3.3941    3.3930    3.3918    3.3907    3.3896    3.3886    3.3875    3.3865    3.3855    3.3846    3.3837    3.3828    3.3820    3.3812    3.3804    3.3797    3.3790    3.3784    3.3778    3.3773    3.3769    3.3764    3.3761    3.3758    3.3755    3.3753    3.3752    3.3751    3.3751    3.3751    3.3752    3.3753    3.3755    3.3758    3.3761    3.3764    3.3769    3.3773    3.3778    3.3784    3.3790    3.3797    3.3804    3.3812    3.3820    3.3828    3.3837    3.3846    3.3855    3.3865    3.3875    3.3886    3.3896    3.3907    3.3918    3.3930    3.3941    3.3953    3.3965    3.3976    3.3988    3.4000    
3.3500    3.3486    3.3472    3.3459    3.3445    3.3432    3.3418    3.3405    3.3392    3.3380    3.3367    3.3355    3.3344    3.3332    3.3321    3.3310    3.3300    3.3291    3.3281    3.3273    3.3264    3.3257    3.3249    3.3243    3.3237    3.3231    3.3227    3.3222    3.3219    3.3216    3.3214    3.3212    3.3211    3.3211    3.3211    3.3212    3.3214    3.3216    3.3219    3.3222    3.3227    3.3231    3.3237    3.3243    3.3249    3.3257    3.3264    3.3273    3.3281    3.3291    3.3300    3.3310    3.3321    3.3332    3.3344    3.3355    3.3367    3.3380    3.3392    3.3405    3.3418    3.3432    3.3445    3.3459    3.3472    3.3486    3.3500    
3.3000    3.2984    3.2969    3.2953    3.2938    3.2922    3.2907    3.2892    3.2878    3.2863    3.2849    3.2836    3.2822    3.2809    3.2797    3.2785    3.2773    3.2762    3.2751    3.2742    3.2732    3.2723    3.2715    3.2708    3.2701    3.2695    3.2689    3.2684    3.2680    3.2677    3.2675    3.2673    3.2672    3.2671    3.2672    3.2673    3.2675    3.2677    3.2680    3.2684    3.2689    3.2695    3.2701    3.2708    3.2715    3.2723    3.2732    3.2742    3.2751    3.2762    3.2773    3.2785    3.2797    3.2809    3.2822    3.2836    3.2849    3.2863    3.2878    3.2892    3.2907    3.2922    3.2938    3.2953    3.2969    3.2984    3.3000    
3.2500    3.2483    3.2465    3.2448    3.2430    3.2413    3.2396    3.2380    3.2363    3.2347    3.2332    3.2316    3.2301    3.2287    3.2273    3.2259    3.2246    3.2234    3.2222    3.2211    3.2201    3.2191    3.2182    3.2173    3.2166    3.2159    3.2153    3.2147    3.2143    3.2139    3.2136    3.2134    3.2133    3.2132    3.2133    3.2134    3.2136    3.2139    3.2143    3.2147    3.2153    3.2159    3.2166    3.2173    3.2182    3.2191    3.2201    3.2211    3.2222    3.2234    3.2246    3.2259    3.2273    3.2287    3.2301    3.2316    3.2332    3.2347    3.2363    3.2380    3.2396    3.2413    3.2430    3.2448    3.2465    3.2483    3.2500    
